year,alarms,serviceCalls,elecHazard,gasLeaks,medical,outsideFire,structFire
2015,4.5,5.3,4.5,4.7,7.2,4.8,5.1
2016,4.5,5.3,4.5,4.8,7.2,4.7,5.0
2017,4.6,5.3,4.8,4.9,7.0,4.8,5.4
2018,4.6,5.5,4.6,5.0,7.3,4.8,5.1
2019,4.6,5.6,4.6,4.9,6.6,5.1,5.0
